scheme,inject,swifi_zone,baseline_only,calibrate,M,K,N,Pr,Pc,frags_per_rank,num_fragments_total,repeats,threshold_used,baseline_min_ms,baseline_median_ms,baseline_mean_ms,baseline_max_ms,baseline_gflops_min,baseline_gflops_median,baseline_gflops_mean,baseline_gflops_max,protected_min_ms,protected_median_ms,protected_mean_ms,protected_max_ms,protected_gflops_min,protected_gflops_median,protected_gflops_mean,protected_gflops_max,overhead_pct,TP,TN,FP,FN,recall,precision,correction_precision_pct,calib_max_diff,calib_safety_factor,calib_suggested_tau
online,add,any,0,0,9472,9472,9472,1,2,8,16,1,1.000000,185.927540,195.412260,194.699988,202.512254,8392.739750,8697.676615,8729.495383,9141.371117,194.667762,208.439762,206.778350,223.889495,7591.390762,8154.071122,8219.587026,8730.940484,6.666676,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,9728,9728,9728,1,2,8,16,1,1924.618544,196.845796,198.543297,198.581982,199.739461,9218.002209,9273.537916,9271.731385,9353.508330,196.845796,198.543297,198.581982,199.739461,9218.002209,9273.537916,9271.731385,9353.508330,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,9728,9728,9728,1,2,8,16,1,1.000000,198.083843,200.457782,203.796072,213.827211,8610.685161,9184.970393,9034.515616,9295.047818,202.509503,207.050029,210.253410,220.691901,8342.847129,8892.530958,8757.046027,9091.913048,3.288596,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,9728,9728,9728,1,2,8,16,1,1.000000,196.194532,209.172432,204.568852,212.575216,8661.399138,8802.301408,9000.386779,9384.557123,207.655999,221.097168,215.982078,224.838403,8188.987149,8327.554845,8524.775791,8866.581277,5.700912,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,9984,9984,9984,1,2,8,16,1,2058.716872,209.736131,212.818378,212.616126,216.616718,9188.650674,9352.647880,9361.544635,9490.092824,209.736131,212.818378,212.616126,216.616718,9188.650674,9352.647880,9361.544635,9490.092824,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,9984,9984,9984,1,2,8,16,1,1.000000,215.446372,219.129376,223.729202,234.516581,8487.311828,9083.288549,8896.538034,9238.565186,223.464590,224.731537,230.089180,240.660436,8270.638020,8856.858180,8650.625621,8907.072713,2.556554,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,9984,9984,9984,1,2,8,16,1,1.000000,211.976477,227.535604,223.322503,232.981030,8543.250718,8747.709443,8912.739772,9389.793528,225.024989,240.553189,236.223912,247.999663,8025.879260,8274.325358,8425.968980,8845.308073,5.721120,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
baseline,none,any,1,0,10240,10240,10240,1,2,8,16,1,2226.202294,221.993271,224.240862,224.009903,225.069341,9541.431269,9576.682987,9586.556732,9673.642982,221.993271,224.240862,224.009903,225.069341,9541.431269,9576.682987,9586.556732,9673.642982,0.000000,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,none,any,0,0,10240,10240,10240,1,2,8,16,1,1.000000,224.983947,226.429811,230.987894,242.468080,8856.768479,9484.102992,9296.953247,9545.052777,230.830825,233.372427,237.885673,249.394925,8610.775251,9201.959613,9027.376965,9303.279352,3.066123,0,320,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,add,any,0,0,10240,10240,10240,1,2,8,16,1,1.000000,222.094288,237.602400,232.031322,241.216620,8902.718428,9038.139547,9255.145498,9669.243038,234.286226,248.919927,245.707505,260.877867,8231.758687,8627.206644,8740.000216,9166.068721,4.763221,40,280,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,any,0,0,2048,2048,2048,1,2,8,16,1,0.007072,2.332931,2.465082,2.454635,2.547959,6742.600326,6969.289129,6998.949634,7364.070855,3.674094,4.450677,4.404678,5.803155,2960.436036,3860.057511,3900.368497,4675.947100,80.548842,106,1400,0,94,0.530000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sign,0,0,2048,2048,2048,1,2,8,16,1,0.007072,2.418622,2.443871,2.484826,6.551136,2622.425971,7029.777424,6913.911772,7103.164192,4.215730,4.702725,4.678633,5.812338,2955.758799,3653.173253,3671.984784,4075.182515,92.429347,200,1400,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,exponent,0,0,2048,2048,2048,1,2,8,16,1,0.007072,2.412746,2.440525,2.441424,2.500556,6870.419692,7039.415365,7036.822133,7120.463233,4.217982,4.723383,4.680820,5.798718,2962.701270,3637.195879,3670.268957,4073.006756,93.539628,199,1400,0,1,0.995000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sig_high,0,0,2048,2048,2048,1,2,8,16,1,0.007072,2.418040,2.440122,2.440333,2.480068,6927.176668,7040.577965,7039.969009,7104.873858,3.786837,4.681614,4.638013,5.765835,2979.597783,3669.646661,3704.144449,4536.733211,91.859833,187,1400,0,13,0.935000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sig_low,0,0,2048,2048,2048,1,2,8,16,1,0.007072,2.414635,2.439320,2.442155,2.511612,6840.176422,7042.892767,7034.718308,7114.892803,3.636270,4.053077,4.115331,4.844656,3546.148413,4238.722626,4174.602080,4724.585684,66.156019,5,1400,0,195,0.025000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,any,0,0,4096,4096,4096,1,2,8,16,1,0.058040,17.467731,17.805968,17.858449,20.648054,6656.266662,7718.701588,7696.018429,7868.162927,18.406211,20.039932,20.227766,23.715040,5795.434183,6858.254483,6794.569123,7466.987827,12.546153,89,1400,0,111,0.445000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sign,0,0,4096,4096,4096,1,2,8,16,1,0.058040,17.299630,17.832496,17.903112,20.833479,6597.023640,7707.219083,7676.819337,7944.618091,18.570096,20.317917,20.567549,24.824129,5536.506577,6764.421445,6682.320306,7401.090090,13.937595,200,1400,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,exponent,0,0,4096,4096,4096,1,2,8,16,1,0.058040,17.440553,17.810068,17.862005,20.384877,6742.201754,7716.924690,7694.486245,7880.424059,18.375663,20.217937,20.415777,25.440640,5402.338678,6797.872279,6731.997128,7479.401068,13.519707,198,1400,0,2,0.990000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sig_high,0,0,4096,4096,4096,1,2,8,16,1,0.058040,17.393522,17.729639,17.712376,19.153761,7175.559592,7751.931862,7759.486969,7901.732235,18.247295,19.630395,20.113740,23.177901,5929.741156,7001.334078,6833.088011,7532.017950,10.720782,127,1400,0,73,0.635000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sig_low,0,0,4096,4096,4096,1,2,8,16,1,0.058040,17.566133,17.810774,17.840735,18.883798,7278.141477,7716.618799,7703.659748,7824.087036,18.552656,18.874342,19.822934,22.345952,6150.507863,7281.787809,6933.330574,7408.047315,5.971487,0,1400,0,200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,any,0,0,8192,8192,8192,1,2,8,16,1,0.173017,107.308548,109.240559,109.624031,126.866366,8666.691279,10065.049445,10029.841235,10246.263213,110.429388,116.170349,116.041179,123.946415,8870.862685,9464.649433,9475.184917,9956.694026,6.343605,80,1400,0,120,0.400000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sign,0,0,8192,8192,8192,1,2,8,16,1,0.173017,107.474404,109.113034,109.358294,121.720267,9033.102333,10076.812893,10054.213441,10230.451036,113.274404,117.381056,117.707750,123.295349,8917.705629,9367.027911,9341.030008,9706.620286,7.577483,200,1400,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,exponent,0,0,8192,8192,8192,1,2,8,16,1,0.173017,107.440717,108.862740,109.218258,125.916592,8732.063109,10099.981204,10067.104578,10233.658695,111.849324,116.903143,117.586276,124.514278,8830.406002,9405.321359,9350.679936,9830.293009,7.385817,198,1400,0,2,0.990000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sig_high,0,0,8192,8192,8192,1,2,8,16,1,0.173017,107.791991,109.398076,109.665685,116.742583,9418.256814,10050.557267,10026.031679,10200.309110,111.173895,115.988630,116.446059,123.141450,8928.850747,9479.477668,9442.239911,9890.016247,6.024378,98,1400,0,102,0.490000,1.000000,0.000000,0.000000,0.000000,0.000000
online,swifi,sig_low,0,0,8192,8192,8192,1,2,8,16,1,0.173017,107.627335,109.419678,109.780800,120.944450,9091.046574,10048.573053,10015.518413,10215.914273,110.991899,113.472474,114.511127,119.829360,9175.644665,9689.677056,9601.788574,9906.233137,3.703900,0,1400,0,200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
